username,GTS,cluster_name
liyupi,100.0,Strong
necolas,99.20991967899393,Strong
xiaolai,98.27180064871862,Strong
hadley,97.62569536130768,Strong
wesbos,97.11521953388132,Strong
paulirish,95.24234801904365,Strong
steipete,95.19912629891283,Strong
addyosmani,94.82697370939303,Strong
munificent,94.66800323333487,Strong
bvaughn,94.11471066139171,Strong
fabpot,94.00448366792364,Strong
jakevdp,93.86207280671573,Strong
AllenDowney,93.75801474367378,Strong
bradfitz,93.07856412957386,Strong
jonhoo,92.93073656892204,Strong
getify,92.81730974598402,Strong
BurntSushi,92.68546411945351,Strong
wesm,92.58748632859559,Strong
onevcat,92.48367930066513,Strong
mitsuhiko,92.40648864818611,Strong
acdlite,92.08411541469681,Strong
ChrisTitusTech,92.07457892258822,Strong
mcollina,91.61337223340203,Strong
f,91.45334296413827,Strong
ggerganov,91.39924642405109,Strong
craftzdog,91.1027554981914,Strong
benbalter,90.93492904318848,Strong
skydoves,90.75906483513798,Strong
knadh,90.73743638754041,Strong
tannerlinsley,90.49005915757496,Strong
akitaonrails,90.25003964171836,Strong
geerlingguy,89.54579060607165,Strong
PatrickAlphaC,89.52191909306123,Strong
antfu,88.95475267896316,Strong
leerob,88.91079520620154,Strong
davidfowl,88.61148712117037,Strong
ry,88.49754441667301,Strong
yyx990803,88.29172253067824,Strong
cassidoo,88.13993967542737,Strong
geohot,88.11996538627386,Strong
shanselman,87.83388682209217,Strong
danielmiessler,87.72884671996498,Strong
3b1b,87.71946502197142,Strong
t3dotgg,87.25346527463307,Strong
tqchen,86.82224203885622,Strong
DIYgod,86.35384552865249,Strong
nzakas,85.71739283506534,Strong
alex,85.69990928848274,Strong
simonw,85.3222488484184,Strong
chrisbanes,85.18692081328011,Strong
anuraghazra,84.95279301794761,Strong
kentcdodds,84.95118455031465,Strong
sorrycc,84.85519595395357,Strong
easychen,84.1832167468209,Strong
gamemann,84.01630269240222,Strong
adrianhajdin,83.74935198781951,Strong
mbostock,83.2563777790947,Strong
mgechev,83.01820990172565,Strong
isaacs,82.98346000495125,Strong
YunaiV,82.90651324535182,Strong
zenorocha,82.49529957205979,Strong
taylorotwell,82.24665143637253,Strong
miguelgrinberg,82.00285158312994,Strong
cloudwu,81.67944202916007,Strong
jessfraz,81.25397587440096,Strong
wycats,81.23026426401829,Strong
rsc,80.99218465346146,Strong
antirez,80.94925429201052,Strong
jeresig,80.45775396483666,Strong
gaearon,79.51004255055882,Strong
rexim,79.39060651129176,Strong
brunosimon,78.4759361076977,Strong
samyk,78.32909473814452,Strong
romainguy,78.29043910918679,Strong
mouredev,78.01742144221238,Average
jadijadi,77.94326927072106,Strong
ThePrimeagen,77.90923057134455,Strong
shadcn,77.50263021360303,Strong
mdo,77.16522917014333,Strong
XiaomingX,76.99320721516783,Strong
keijiro,76.91810126756518,Strong
developit,75.99616788702437,Strong
idimetrix,75.87699662582352,Average
karpathy,75.76798386402345,Strong
mathiasbynens,75.75740971540941,Strong
loiane,75.60031568680304,Strong
521xueweihan,75.3350658602325,Strong
schacon,74.96249447229053,Strong
