username,GTS,cluster_name,username,followers,following,public_repos_reported,public_gists,account_age_days,profile_updated_days_ago,has_bio,has_company,has_blog,hireable,site_admin,repos_fetched,total_stars,avg_stars,total_forks,avg_forks,total_watchers,avg_watchers,total_open_issues,avg_open_issues,avg_repo_size_kb,median_repo_size_kb,fork_ratio,archived_ratio,disabled_ratio,has_pages_ratio,has_issues_ratio,unique_languages,top_language_share,days_since_last_push,days_since_last_repo_update,events_fetched,events_PushEvent,events_PullRequestEvent,events_PullRequestReviewEvent,events_IssuesEvent,events_IssueCommentEvent,events_CreateEvent,events_ForkEvent,events_WatchEvent,days_since_last_event,log_followers,log_total_stars,log_total_forks,log_total_watchers,follower_following_ratio,cluster_label,cluster_name,GTS
nishantwrp,99.99999999999999,Strong,nishantwrp,1076,67,40,2,2906.439589,12.3682003,1,1,1,1,0,30,758,25.26666667,156,5.2,758,25.26666667,70,2.333333333,70853.23333,617.0,0.133333333,0.233333333,0.0,0.033333333,0.833333333,7,0.28,17.56539938,0.579843823,30,6,10,2,2,6,1,0,1,19.06061929,6.981934677,6.632001777,5.056245805,6.632001777,15.82352941,2,Strong,99.99999999999999
zyyv,99.14601326183987,Strong,zyyv,365,137,158,1,2749.48542,12.56494549,1,1,1,1,0,30,5,0.166666667,1,0.033333333,5,0.166666667,0,0.0,11272.8,1346.0,0.733333333,0.1,0.0,0.0,0.266666667,6,0.352941176,25.65807049,25.65807049,30,10,4,6,4,1,2,1,1,0.535003358,5.902633333,1.791759469,0.693147181,1.791759469,2.644927536,2,Strong,99.14601326183987
LadyKerr,99.12977287055855,Strong,LadyKerr,1157,72,217,8,2572.18935,4.291919217,1,1,1,0,1,30,120,4.0,49,1.633333333,120,4.0,42,1.4,16323.93333,1074.5,0.566666667,0.0,0.0,0.1,0.433333333,8,0.25,22.91544931,6.661363662,30,8,5,0,3,4,4,1,4,4.27394468,7.054449658,4.795790546,3.912023005,4.795790546,15.84931507,2,Strong,99.12977287055855
PsiACE,98.34527668561809,Strong,PsiACE,577,245,67,3,2909.182995,8.307775541,1,1,1,1,0,30,570,19.0,50,1.666666667,570,19.0,9,0.3,44341.3,17803.0,0.733333333,0.0,0.0,0.133333333,0.266666667,5,0.571428571,0.307312578,0.225564893,30,9,2,3,1,4,2,0,3,0.271456097,6.359573869,6.34738921,3.931825633,6.34738921,2.345528455,2,Strong,98.34527668561809
StanleyMasinde,97.7489765241027,Strong,StanleyMasinde,314,70,87,17,2953.273917,10.23404465,1,1,1,1,0,30,43,1.433333333,16,0.533333333,43,1.433333333,1,0.033333333,5313.8,313.0,0.366666667,0.166666667,0.0,0.266666667,0.633333333,8,0.304347826,2.950977519,2.951729833,30,8,6,1,12,1,1,0,0,0.895190482,5.752572639,3.784189634,2.833213344,3.784189634,4.422535211,2,Strong,97.7489765241027
alvarobartt,97.1539646488822,Strong,alvarobartt,860,69,90,19,2913.500355,16.50709078,1,1,1,1,0,30,762,25.4,76,2.533333333,762,25.4,15,0.5,58832.76667,2937.5,0.666666667,0.0,0.0,0.0,0.333333333,6,0.368421053,3.54166254,0.365551429,30,10,6,1,4,2,2,0,1,0.431373188,6.758094504,6.637258031,4.343805422,6.637258031,12.28571429,2,Strong,97.1539646488822
TaKO8Ki,97.09894366361527,Strong,TaKO8Ki,418,7,232,6,2776.336754,1.644265548,1,1,1,1,0,30,4095,136.5,116,3.866666667,4095,136.5,54,1.8,11514.66667,1505.5,0.633333333,0.033333333,0.0,0.0,0.4,3,0.818181818,73.57134888,0.734832678,30,7,5,0,1,4,4,1,5,1.194196104,6.03787092,8.317766167,4.762173935,8.317766167,52.25,2,Strong,97.09894366361527
sayannath,96.94556929977372,Strong,sayannath,325,60,216,12,2755.205118,8.632976394,1,1,1,1,0,30,59,1.966666667,7,0.233333333,59,1.966666667,1,0.033333333,4342.7,478.0,0.4,0.0,0.0,0.033333333,0.6,10,0.380952381,63.02920325,10.08201575,30,9,4,0,7,1,2,1,4,0.087316672,5.786897381,4.094344562,2.079441542,4.094344562,5.327868852,2,Strong,96.94556929977372
wesbos,96.86700677924965,Strong,wesbos,35244,31,421,75,5885.4903,0.347140751,1,1,1,1,0,30,5585,186.1666667,2622,87.4,5585,186.1666667,129,4.3,17643.53333,1063.0,0.533333333,0.033333333,0.0,0.133333333,0.5,7,0.333333333,12.1583676,1.139559732,30,17,7,0,1,1,4,0,0,2.021504177,10.47007895,8.628018747,7.87207398,8.628018747,1101.375,2,Strong,96.86700677924965
arthurfiorette,96.09140429475615,Strong,arthurfiorette,592,111,49,7,2560.133979,9.209650423,1,1,1,1,0,30,892,29.73333333,69,2.3,892,29.73333333,66,2.2,21248.46667,1186.5,0.433333333,0.333333333,0.0,0.266666667,0.366666667,5,0.454545455,0.355344868,0.263979127,30,13,3,0,0,7,1,1,1,0.260217553,6.385194399,6.794586581,4.248495242,6.794586581,5.285714286,2,Strong,96.09140429475615
gridhead,95.62094378266886,Strong,gridhead,248,21,72,49,2498.626759,8.159987949,1,1,1,1,0,30,67,2.233333333,13,0.433333333,67,2.233333333,85,2.833333333,6009.7,1199.0,0.433333333,0.1,0.0,0.0,0.566666667,6,0.5,2.299663875,81.01697869,30,11,6,2,8,2,1,0,0,2.628899986,5.517452896,4.219507705,2.63905733,4.219507705,11.27272727,2,Strong,95.62094378266886
