username,GTS,cluster_name
nishantwrp,99.99999999999999,Strong
zyyv,99.14601326183987,Strong
LadyKerr,99.12977287055855,Strong
PsiACE,98.34527668561809,Strong
StanleyMasinde,97.7489765241027,Strong
alvarobartt,97.1539646488822,Strong
TaKO8Ki,97.09894366361527,Strong
sayannath,96.94556929977372,Strong
wesbos,96.86700677924965,Strong
arthurfiorette,96.09140429475615,Strong
gridhead,95.62094378266886,Strong
Justintime50,95.46350077235427,Strong
KShivendu,95.46142914261385,Strong
benbalter,95.45382627275,Strong
VishnuSanal,95.25809959473555,Strong
HollowMan6,95.07375430687145,Strong
BRAVO68WEB,95.03802472396822,Strong
snitin315,94.91610562783083,Strong
0x61nas,94.81642731756203,Strong
liyupi,94.78055768679155,Strong
CrazyBoyM,94.62351061446398,Strong
Olanetsoft,94.58630027534909,Strong
hoc081098,94.28951176482575,Strong
luoling8192,93.93199925995847,Strong
xingyaoww,93.80270192705584,Strong
renbaoshuo,93.67256250467183,Strong
amir1376,93.62032860841508,Strong
SaadBazaz,93.32940782232473,Strong
momeemt,93.10598863981056,Strong
hesamsheikh,92.9653010694877,Strong
getify,92.93140315236641,Strong
MomenSherif,92.89355147332148,Strong
Aleksanaa,92.83993237631483,Strong
skydoves,92.82322030776837,Strong
Th0rgal,92.8107368319508,Strong
Taiizor,92.70709420669874,Strong
Shabinder,92.63977022098305,Strong
Soulter,92.60183064738555,Strong
Ifihan,92.47073819040075,Strong
necolas,92.42577311857727,Strong
HarshCasper,92.40657112900507,Strong
Pandapip1,92.37420708982263,Strong
sreeram-venkitesh,92.27853565698149,Strong
jtracey93,92.25529773967924,Strong
devenock,92.16327798672461,Strong
sammwyy,92.07083868274024,Strong
smorimoto,92.05228854954933,Strong
tusharsadhwani,92.04097310344214,Strong
craftzdog,91.9067598563446,Strong
hyoban,91.8641789349173,Strong
Innei,91.6728891256632,Strong
munificent,91.48043676644062,Strong
AllenDowney,91.30000985815535,Strong
davidfowl,91.18189024735483,Strong
yifanzhang-pro,91.17872358290349,Strong
sethforprivacy,91.06272789149816,Strong
shanselman,91.04093340000088,Strong
t3dotgg,90.9644890796684,Strong
steipete,90.79756148094263,Strong
jcstein,90.7745278366396,Strong
figonzal1,90.68589601200004,Strong
auula,90.66065987682046,Strong
onevcat,90.54302102016824,Strong
Heliodex,90.45727243803147,Strong
thewilloftheshadow,90.27651102361799,Strong
xiaolai,90.24543745620879,Strong
ariG23498,90.22358873025391,Strong
rohitg00,90.06729341742806,Strong
bholmesdev,89.97677382729877,Strong
rishabkumar7,89.89536235166341,Strong
IroncladDev,89.85530562207725,Strong
purofle,89.77066055047024,Strong
PatrickAlphaC,89.70235913817685,Strong
martinadamsdev,89.6681728781725,Strong
shunkakinoki,89.64287467411707,Strong
bradfitz,89.61304340172151,Strong
sapphi-red,89.543416462607,Strong
cassidoo,89.53486782911943,Strong
imskr,89.48666868936598,Strong
hadley,89.41028179873514,Strong
BradyAJohnston,89.3537243896917,Strong
