username,followers,following,public_repos_reported,public_gists,account_age_days,profile_updated_days_ago,has_bio,has_company,has_blog,hireable,site_admin,repos_fetched,total_stars,avg_stars,total_forks,avg_forks,total_watchers,avg_watchers,total_open_issues,avg_open_issues,avg_repo_size_kb,median_repo_size_kb,fork_ratio,archived_ratio,disabled_ratio,has_pages_ratio,has_issues_ratio,unique_languages,top_language_share,days_since_last_push,days_since_last_repo_update,events_fetched,events_PushEvent,events_PullRequestEvent,events_PullRequestReviewEvent,events_IssuesEvent,events_IssueCommentEvent,events_CreateEvent,events_ForkEvent,events_WatchEvent,days_since_last_event
0vm,10277,2,11,0,1810.454544,15.69690556,1,0,0,1,0,11,696,63.27272727,79,7.181818182,696,63.27272727,11,1,505.6363636,54,0.181818182,0,0,0,0.818181818,4,0.5,141.2968824,1.48531991,1,0,0,0,0,1,0,0,0,18.22459074
3b1b,39204,0,9,0,3981.963283,13.69491482,1,1,1,0,0,9,96025,10669.44444,9575,1063.888889,96025,10669.44444,597,66.33333333,214531.8889,76592,0.333333333,0,0,0.222222222,0.666666667,5,0.428571429,0.482021299,0.040354632,30,18,2,0,2,4,1,0,0,1.637102317
521xueweihan,11938,186,165,11,4223.314695,20.22020417,1,1,1,0,0,30,129,4.3,49,1.633333333,129,4.3,0,0,16449.56667,1129.5,0.9,0,0,0.066666667,0.1,7,0.375,292.5555167,11.254475,9,2,1,0,3,0,0,0,2,9.470852317
abuanwar072,13291,1,83,15,2729.44782,12.31756528,1,0,0,0,0,30,12700,423.3333333,5419,180.6333333,12700,423.3333333,90,3,21165.36667,1435.5,0.066666667,  ,0,0.166666667,0.933333333,6,0.75,160.8247412,0.49412778,4,1,0,0,0,0,0,0,2,5.274822225
acdlite,14884,0,74,20,4744.403318,33.62438241,1,1,1,0,0,30,2090,69.66666667,200,6.666666667,2090,69.66666667,78,2.6,5498.4,868.5,0.6,0,0,0.166666667,0.366666667,7,0.730769231,1016.937183,3.617935651,30,3,3,12,0,1,3,0,0,2.162866206
acenelio,13614,1,290,0,3830.600667,32.00651204,1,1,1,0,0,30,100,3.333333333,51,1.7,100,3.333333333,5,0.166666667,2431.933333,57,0.2,0,0,0,0.8,5,0.52,741.6587806,145.8786532,1,0,0,0,0,0,0,0,0,10.01527361
adamwathan,13145,12,178,28,4671.092994,11.98891945,1,0,0,0,0,30,1158,38.6,258,8.6,1158,38.6,62,2.066666667,1518.766667,177,0.233333333,0.166666667,0,0,0.666666667,6,0.652173913,443.8344287,47.24540093,30,10,6,1,1,9,2,0,0,6.724266669
addyosmani,45086,265,351,176,6040.965482,86.73838704,1,1,1,0,0,30,12086,402.8666667,1798,59.93333333,12086,402.8666667,116,3.866666667,16753.16667,706,0.5,0.033333333,0,0.133333333,0.566666667,6,0.76,37.33601435,0.228549077,30,5,0,0,15,7,1,0,1,5.819058336
adrianhajdin,36277,0,152,62,3329.036281,3.03569028,1,1,1,1,0,30,16250,541.6666667,5032,167.7333333,16250,541.6666667,285,9.5,6633.3,1802.5,0.033333333,0,0,0,0.966666667,5,0.444444444,32.16319028,0.198850002,30,15,10,0,0,0,3,0,1,1.898745836
agentzh,11829,3,68,92,6203.252218,36.45216037,1,1,1,0,0,30,426,14.2,119,3.966666667,426,14.2,11,0.366666667,13911.56667,212.5,0.5,0,0,0.033333333,0.533333333,8,0.37037037,1230.388063,146.6954243,0,0,0,0,0,0,0,0,0,0
ageron,17067,5,89,19,6142.040216,31.84540111,1,0,1,0,0,30,359,11.96666667,169,5.633333333,359,11.96666667,1,0.033333333,13866.4,358,0.733333333,0,0,0.033333333,0.266666667,11,0.277777778,31.84673213,8.231083984,11,8,0,0,1,2,0,0,0,9.847912687
akitaonrails,12274,4,136,105,6549.024197,12.12648908,1,1,1,0,0,30,1076,35.86666667,130,4.333333333,1076,35.86666667,7,0.233333333,7515.566667,616.5,0.433333333,0,0,0.033333333,0.566666667,9,0.269230769,2.008502965,1.162704354,30,20,0,0,3,1,4,0,0,2.008491391
alex,10499,38,494,81,6564.878491,111.1884335,1,1,1,0,0,30,129,4.3,22,0.733333333,129,4.3,13,0.433333333,10472.96667,416.5,0.833333333,0,0,0,0.166666667,7,0.5,8.773468243,8.773433521,30,6,1,7,0,9,0,0,0,0.124533058
AlexTheAnalyst,20456,0,18,0,2209.583364,33.17957935,1,0,1,0,0,18,5878,326.5555556,4047,224.8333333,5878,326.5555556,104,5.777777778,4218.055556,484,0,0,0,0.111111111,1,4,0.555555556,10.04323676,0.850377965,12,10,0,0,0,0,2,0,0,10.04323676
AllenDowney,10771,1,160,27,4984.985309,20.08942889,1,1,1,1,0,30,1198,39.93333333,665,22.16666667,1198,39.93333333,25,0.833333333,26417,14628,0.333333333,0,0,0.366666667,0.666666667,6,0.714285714,4.679278428,4.841546947,30,7,1,1,11,9,0,0,0,0.914151113
amueller,11086,44,201,56,5594.313978,12.03015806,1,1,1,0,0,30,1230,41,510,17,1230,41,9,0.3,66261.46667,10811.5,0.5,0,0,0.266666667,0.5,9,0.379310345,478.8340585,20.26232241,4,0,0,0,0,4,0,0,0,12.01806315
aneagoie,10670,1,147,4,4033.030552,113.761165,1,0,1,1,0,30,339,11.3,386,12.86666667,339,11.3,56,1.866666667,7283.066667,167,0.266666667,0,0,0.266666667,0.7,5,0.653846154,142.9908178,0.977577039,0,0,0,0,0,0,0,0,0,0
