trending_rank,username,real_name,reputation,ranking,solved_easy,solved_medium,solved_hard,total_easy,total_medium,total_hard,beats_easy,beats_medium,beats_hard,top_percentage,contest_rating,global_ranking,attended_contests,total_participants,badges,languages
616515,fjzzq2002,Miruu,0,616515,111,87,29,113,88,33,91.72,83.24,84.12,84.12,3702.788,1,26,813046,Guardian,C++: 92; Java: 1; Python: 13; JavaScript: 3; Python3: 125; Rust: 2
535111,neal_wu,Neal Wu,0,535111,60,141,52,60,142,53,80.89,90.0,92.0,92.0,3686.191,2,51,813046,Guardian,C++: 243; Python3: 14
20461,Yawn_Sean,Yawn_Sean,851,20461,241,599,242,241,600,242,98.54,99.52,99.68,99.68,3644.841,3,84,813046,Guardian; 500 Days Badge; 365 Days Badge; 100 Days Badge 2025; 50 Days Badge 2025; Annual Badge 2024; 200 Days Badge 2024; 100 Days Badge 2024; 50 Days Badge 2024; 50 Days Badge 2023; 100 Days Badge 2023; 100 Days Badge 2022; Apr LeetCoding Challenge; Mar LeetCoding Challenge; Feb LeetCoding Challenge; Jan LeetCoding Challenge; Dec LeetCoding Challenge; Nov LeetCoding Challenge; Oct LeetCoding Challenge; Sep LeetCoding Challenge; Aug LeetCoding Challenge; Jul LeetCoding Challenge; Jun LeetCoding Challenge; May LeetCoding Challenge; Apr LeetCoding Challenge; Mar LeetCoding Challenge; Feb LeetCoding Challenge; Jan LeetCoding Challenge; Jun LeetCoding Challenge; Mar LeetCoding Challenge; Feb LeetCoding Challenge; Jan LeetCoding Challenge,C++: 4; Python3: 1081
5000001,ahmed007boss,ahmed007boss,0,5000001,0,0,0,0,0,0,,,,,,,0,,,
4050677,liming-v,liming-v,0,4050677,4,11,2,4,11,2,,41.89,20.53,20.53,,,0,,,Java: 17
1470,numb3r5,Joshua Chen,670,1470,548,1112,438,548,1120,449,99.92,99.96,99.94,99.94,3589.337,6,100,813046,Guardian; 500 Days Badge; 365 Days Badge; 1000 Days Badge; Annual Badge 2025; 200 Days Badge 2025; 100 Days Badge 2025; 50 Days Badge 2025; Annual Badge 2024; 200 Days Badge 2024; 100 Days Badge 2024; 50 Days Badge 2024; Annual Badge 2023; 50 Days Badge 2023; 100 Days Badge 2023; Annual Badge 2022; Dec LeetCoding Challenge; Nov LeetCoding Challenge; Oct LeetCoding Challenge; Sep LeetCoding Challenge; Aug LeetCoding Challenge; Jul LeetCoding Challenge; Jun LeetCoding Challenge; May LeetCoding Challenge; Apr LeetCoding Challenge; Mar LeetCoding Challenge; Feb LeetCoding Challenge; Jan LeetCoding Challenge; Dec LeetCoding Challenge; Nov LeetCoding Challenge; Oct LeetCoding Challenge; Sep LeetCoding Challenge; Aug LeetCoding Challenge; Jul LeetCoding Challenge; Jun LeetCoding Challenge; May LeetCoding Challenge; Apr LeetCoding Challenge; Mar LeetCoding Challenge; Feb LeetCoding Challenge; Jan LeetCoding Challenge; Dec LeetCoding Challenge; Nov LeetCoding Challenge; Oct LeetCoding Challenge; Sep LeetCoding Challenge; Aug LeetCoding Challenge; Jul LeetCoding Challenge; Jun LeetCoding Challenge; May LeetCoding Challenge; Apr LeetCoding Challenge; Mar LeetCoding Challenge; Feb LeetCoding Challenge; Jan LeetCoding Challenge; Dec LeetCoding Challenge; Nov LeetCoding Challenge; Oct LeetCoding Challenge; Sep LeetCoding Challenge; Aug LeetCoding Challenge; Jul LeetCoding Challenge; Jun LeetCoding Challenge; May LeetCoding Challenge; Apr LeetCoding Challenge; Mar LeetCoding Challenge; Feb LeetCoding Challenge; Jan LeetCoding Challenge; Dec LeetCoding Challenge; Nov LeetCoding Challenge; Oct LeetCoding Challenge; Sep LeetCoding Challenge; Aug LeetCoding Challenge; Jul LeetCoding Challenge; Jun LeetCoding Challenge; LeetCode 75; Dynamic Programming II; DS III; Algorithm III; Level 3; Graph Theory II; Binary Search III; Level 1; Level 2; SQL I; Binary Search II; Binary Search I; Programming Skills II; Programming Skills I; Graph Theory I; Data Structure II; Data Structure I; Dynamic Programming I; Algorithm II; Algorithm I,C++: 300; Java: 1; Python: 2; MySQL: 51; JavaScript: 18; Ruby: 7; Bash: 2; Python3: 1849
49753,PurpleCrayon,Rohin Garg,16,49753,215,416,194,215,418,207,97.99,98.55,99.42,99.42,3506.396,7,88,813046,Guardian,C++: 748; Java: 87; Python: 1; Python3: 6
5000001,hankray,hankray,0,5000001,0,0,0,0,0,0,,,,,,,0,,,
5000001,HazemAllaham,Hazem Allaham,0,5000001,4,1,0,7,2,1,,,,,,,0,,,Python3: 5
590035,dnialh,dnialh,0,590035,62,117,56,62,119,59,81.58,87.58,92.78,92.78,3483.996,10,58,813046,Guardian,C++: 5; Python: 28; Python3: 205
