user_id,display_name,reputation,gold_badges,silver_badges,bronze_badges,days_since_last_access,quality_score,kmeans_level,hierarchical_level,gmm_level,knn_level,rf_level,gmm_confidence,rf_confidence
22656,Jon Skeet,1522375,895,9311,9348,5,0.8,Weak,Weak,Strong,Weak,Weak,1.0,1.0
6309,VonC,1363761,569,4790,5750,5,0.5317737504019394,Weak,Weak,Strong,Weak,Weak,1.0,1.0
1144035,Gordon Linoff,1276084,62,708,858,102,0.2174023226021518,Weak,Weak,Strong,Weak,Weak,1.0,0.9999295774647888
100297,Martijn Pieters,1139315,326,4244,3451,7,0.3866463548060736,Weak,Weak,Strong,Weak,Weak,1.0,1.0
157882,BalusC,1114856,377,3658,3595,5,0.38519616720347316,Weak,Weak,Strong,Weak,Weak,1.0,1.0
157247,T.J. Crowder,1082266,201,2027,1967,6,0.2716394797484978,Weak,Weak,Strong,Weak,Weak,1.0,1.0
23354,Marc Gravell,1071239,273,2638,2968,5,0.320784847545012,Weak,Weak,Strong,Weak,Weak,1.0,1.0
29407,Darin Dimitrov,1042325,277,3325,2951,11,0.3324200205370168,Weak,Weak,Strong,Weak,Weak,1.0,1.0
115145,CommonsWare,1011433,195,2451,2684,5,0.28527533536204935,Weak,Weak,Strong,Weak,Weak,1.0,1.0
893,Greg Hewgill,1004431,193,1188,1304,14,0.22749070264846885,Weak,Weak,Strong,Weak,Weak,1.0,1.0
19068,Quentin,948983,137,1280,1408,5,0.21149492048797844,Weak,Weak,Strong,Weak,Weak,1.0,1.0
17034,Hans Passant,946804,151,1763,2637,5,0.2510186370873472,Weak,Weak,Strong,Weak,Weak,1.0,1.0
34397,SLaks,891609,182,1947,1997,229,0.24796946835769992,Weak,Weak,Strong,Weak,Weak,1.0,1.0
3732271,akrun,891159,38,590,700,694,0.17359293575708362,Weak,Weak,Strong,Weak,Weak,1.0,1.0
14860,paxdiablo,889326,243,1620,2005,7,0.24737135368641705,Weak,Weak,Strong,Weak,Weak,1.0,1.0
95810,Alex Martelli,888160,175,1253,1412,351,0.2223853793248375,Weak,Weak,Strong,Weak,Weak,1.0,1.0
