user_id,display_name,reputation,gold_badges,silver_badges,bronze_badges,days_since_last_access,kmeans_cluster,kmeans_level,quality_score
22656,Jon Skeet,1522375,895,9311,9348,5,0,Weak,0.8
6309,VonC,1363761,569,4790,5750,5,0,Weak,0.53177375
1144035,Gordon Linoff,1276084,62,708,858,102,0,Weak,0.217402323
100297,Martijn Pieters,1139315,326,4244,3451,7,0,Weak,0.386646355
157882,BalusC,1114856,377,3658,3595,5,0,Weak,0.385196167
157247,T.J. Crowder,1082266,201,2027,1967,6,0,Weak,0.27163948
23354,Marc Gravell,1071239,273,2638,2968,5,0,Weak,0.320784848
29407,Darin Dimitrov,1042325,277,3325,2951,11,0,Weak,0.332420021
115145,CommonsWare,1011433,195,2451,2684,5,0,Weak,0.285275335
893,Greg Hewgill,1004431,193,1188,1304,14,0,Weak,0.227490703
19068,Quentin,948983,137,1280,1408,5,0,Weak,0.21149492
17034,Hans Passant,946804,151,1763,2637,5,0,Weak,0.251018637
34397,SLaks,891609,182,1947,1997,229,0,Weak,0.247969468
3732271,akrun,891159,38,590,700,694,0,Weak,0.173592936
14860,paxdiablo,889326,243,1620,2005,7,0,Weak,0.247371354
95810,Alex Martelli,888160,175,1253,1412,351,0,Weak,0.222385379
190597,unutbu,886881,197,1851,1719,932,0,Weak,0.265047857
2901002,jezrael,868067,103,1442,1338,8,0,Weak,0.195180323
61974,Mark Byers,844044,202,1623,1473,36,0,Weak,0.221769483
5445,Christian C. Salvad&#243;,831582,185,929,845,10,0,Weak,0.187118212
218196,Felix Kling,820380,181,1114,1172,421,0,Weak,0.20878398
20862,Ignacio Vazquez-Abrams,804192,160,1369,1386,2583,2,Average,0.280792544
19563,Lara Bailey,802548,110,651,667,47,0,Weak,0.157874435
548225,anubhava,790817,67,605,672,5,0,Weak,0.144481396
1491895,Barmar,789234,57,555,669,5,0,Weak,0.140896164
13302,marc_s,760361,186,1389,1503,5,0,Weak,0.201650788
15168,Jonathan Leffler,760102,145,962,1335,5,0,Weak,0.179677285
23283,JaredPar,759897,152,1264,1466,596,0,Weak,0.209318121
335858,Sergey Kalinichenko,729317,85,1159,1574,11,0,Weak,0.171702885
106224,BoltClock,728800,165,1429,1389,83,0,Weak,0.193649073
139985,Stephen C,723688,96,850,1275,5,0,Weak,0.160175987
816620,jfriend00,711309,105,1050,1029,17,0,Weak,0.159953436
69083,Guffa,703255,113,760,1025,21,0,Weak,0.154472181
571407,JB Nizet,694452,94,1263,1277,1984,2,Average,0.227726568
