user_id,DisplayName,Reputation,profile_views,up_votes_given_by_user,down_votes_given_by_user,CreationDate,LastAccessDate,gold_badges,silver_badges,bronze_badges,question_count,answer_count,comment_count,total_answer_score,accepted_answer_count,bounties_earned,bio_length,has_website,Location
22656,Jon Skeet,1523453,2365480,17185,8413,26-09-2008 12:05,14-02-2026 20:27,895,9312,9351,56,35791,89442,496522,22387,11275,1125,1,"Reading, United Kingdom"
6309,VonC,1365445,357190,71393,489,13-09-2008 22:22,14-02-2026 18:09,569,4797,5750,16,29782,36301,245035,13090,48525,1562,1,France
1144035,Gordon Linoff,1276212,480418,19952,39,11-01-2012 19:53,16-10-2025 23:02,62,709,859,0,85044,73964,116922,37245,2625,325,1,"New York, United States"
100297,Martijn Pieters,1139881,376924,5725,21007,03-05-2009 14:53,14-02-2026 20:51,326,4244,3451,3,19920,54858,193734,14575,16675,593,1,"Cambridge, UK"
157882,BalusC,1115076,500270,15984,22753,17-08-2009 16:42,14-02-2026 13:53,377,3660,3596,15,17155,34156,188881,11770,26425,1251,1,"Willemstad, Curaçao"
157247,T.J. Crowder,1082564,198579,14947,34914,16-08-2009 11:00,13-02-2026 14:40,201,2029,1967,96,22711,60042,138705,13770,2275,2409,1,United Kingdom
23354,Marc Gravell,1071509,344837,26905,1045,29-09-2008 05:46,13-02-2026 10:42,273,2638,2968,50,16977,33223,144666,9134,6500,1546,1,"Forest of Dean, United Kingdom"
29407,Darin Dimitrov,1042453,294986,1907,2508,19-10-2008 16:07,12-02-2026 09:00,277,3325,2951,41,21381,18794,153216,12657,7725,223,1,"Sofia, Bulgaria"
115145,CommonsWare,1011523,288354,14391,7916,31-05-2009 16:20,14-02-2026 23:23,195,2452,2686,133,23240,55608,107435,14037,9250,3217,1,"Pennsylvania, United States"
893,Greg Hewgill,1004801,151181,6468,2034,10-08-2008 08:27,13-01-2026 05:55,193,1190,1305,55,5377,7065,129568,2202,250,195,1,"Ōtautahi, Aotearoa"
19068,Quentin,949106,138735,8958,111623,19-09-2008 16:48,14-02-2026 23:47,138,1281,1409,4,24756,50263,100323,10726,2225,156,1,United Kingdom
17034,Hans Passant,946973,293503,11812,69712,18-09-2008 00:45,14-02-2026 21:07,151,1763,2637,2,16086,69510,103467,9719,53375,0,1,"Madison, WI"
34397,SLaks,891769,185250,6866,3007,04-11-2008 20:16,12-06-2025 21:05,182,1947,1997,51,15092,30725,109602,7109,1300,2320,1,New Jersey
3732271,akrun,891254,121460,51204,0,12-06-2014 01:21,04-03-2024 19:23,38,592,701,0,37918,49325,73819,20611,775,83,1,
14860,paxdiablo,889678,105452,4574,1572,17-09-2008 03:36,14-02-2026 00:18,243,1620,2006,274,11371,14762,92257,4893,2150,703,1,
95810,Alex Martelli,888526,202545,815,46,25-04-2009 02:09,10-02-2025 17:36,175,1253,1412,6,6226,4716,100168,2948,2325,608,1,"Sunnyvale, CA"
190597,unutbu,887271,55461,17061,634,15-10-2009 12:48,10-07-2023 16:17,198,1852,1719,17,7503,6256,105521,4716,950,99,1,
2901002,jezrael,868197,171435,27328,1885,20-10-2013 20:27,10-02-2026 14:07,103,1442,1338,45,31123,38212,92486,23191,1650,615,1,"Bratislava, Slovakia"
61974,Mark Byers,844314,46627,10149,254,03-02-2009 14:56,21-12-2025 23:01,202,1625,1473,0,6717,7195,97637,3567,400,0,1,Denmark
5445,Christian C. Salvadó,831742,76974,585,6,09-09-2008 16:04,09-02-2026 14:11,185,929,845,0,2151,1288,97214,1098,1425,1313,1,Guatemala
218196,Felix Kling,820527,126863,6177,1932,24-11-2009 23:08,02-12-2024 20:25,181,1114,1172,8,7082,47054,85795,4206,1950,1724,1,Germany
20862,Ignacio Vazquez-Abrams,804321,85488,1711,69,23-09-2008 02:06,01-01-2019 07:43,160,1369,1386,8,12201,15286,84325,4796,575,94,1,
19563,Lara Bailey,802978,55958,1102,196,20-09-2008 09:39,07-02-2026 21:03,110,651,667,0,1978,4900,91222,951,350,576,1,United Kingdom
548225,anubhava,791019,136963,34703,2605,20-12-2010 05:10,13-02-2026 15:39,67,606,674,11,25892,37451,62474,14941,2900,852,1,"Bangalore, India"
1491895,Barmar,789625,142046,8491,6032,29-06-2012 18:12,14-02-2026 22:47,58,555,670,23,33606,198644,59612,18189,500,757,1,"Arlington, MA"
13302,marc_s,760460,161384,30528,37419,16-09-2008 18:09,14-02-2026 21:34,186,1389,1504,252,9454,29727,74393,5065,1450,604,1,"Bern, Switzerland"
15168,Jonathan Leffler,760430,120363,34582,1214,17-09-2008 06:45,15-02-2026 00:02,145,962,1335,52,13230,61782,69489,5811,4350,517,1,"Colorado, USA"
23283,JaredPar,760115,75774,7917,73,28-09-2008 22:59,10-06-2024 16:00,152,1265,1466,5,6403,4022,84115,2635,1350,696,1,"Redmond, WA"
335858,Sergey Kalinichenko,729405,81735,33487,2922,07-05-2010 21:54,10-02-2026 10:03,85,1159,1574,32,15965,17965,73142,8841,4275,167,1,United States
106224,BoltClock,728920,136938,12743,2401,13-05-2009 11:40,05-11-2025 07:01,165,1430,1390,25,4628,20538,75468,3223,2525,4871,1,Singapore
139985,Stephen C,723846,83962,3569,5570,17-07-2009 07:28,14-02-2026 16:29,96,851,1276,22,15706,27107,62450,5778,3625,0,1,Australia
816620,jfriend00,711429,45514,4316,5859,26-06-2011 23:59,05-02-2026 16:57,105,1050,1029,50,13852,42869,59680,8429,1050,66,1,
69083,Guffa,703345,43773,487,136,20-02-2009 20:24,13-02-2026 21:07,113,760,1025,3,10586,8860,68903,4127,1750,325,1,"Virsbo, Sweden"
571407,JB Nizet,694500,93425,5423,8642,11-01-2011 14:47,22-08-2020 09:02,94,1263,1277,8,13965,48466,64829,7899,1850,729,1,"Saint-Etienne, France"
1048572,Bergi,671101,69814,12043,9033,15-11-2011 22:20,14-02-2026 23:57,162,1037,1490,37,12684,89248,58189,7082,6450,285,1,
939860,Erwin Brandstetter,669990,83119,5793,890,12-09-2011 04:04,14-02-2026 22:02,160,1165,1329,11,6969,10926,63118,3967,10550,227,0,"Vienna, Austria"
88656,Eric Lippert,663768,495337,2,4486,08-04-2009 15:28,27-01-2026 22:47,185,1266,2091,0,3743,14858,86836,1834,2250,550,1,"Seattle, WA"
217408,Günter Zöchbauer,661896,111685,24374,524,23-11-2009 22:46,14-02-2026 17:09,235,2068,1610,93,9324,25588,92847,5378,4575,731,1,"Linz, Austria"
53114,Gumbo,657567,52685,1442,273,08-01-2009 22:12,15-10-2017 16:01,112,793,852,13,4534,7608,67246,1909,1300,548,1,"Ulm, Germany"
13249,Nick Craver,631436,81836,3854,11,16-09-2008 17:53,25-10-2024 18:27,138,1307,1160,9,6161,8424,66298,4030,3425,773,1,"Winston-Salem, NC"
